Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene14,34154
Feb14,33858
Mar14,34074
Abr14,33775
May14,33658
Jun14,33907
Jul14,35594
Ago14,35697
Sep14,35632
Oct14,35911
Nov14,36052
Dic14,39173
