Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene08,241
Feb08,254
Mar08,257
Abr08,270
May08,264
Jun08,326
Jul08,271
Ago08,272
Sep08,256
Oct08,202
Nov08,183
Dic08,195
