Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene23,78765
Feb23,77265
Mar23,75025
Abr23,74788
May23,73115
Jun23,72575
Jul23,73917
Ago23,72734
Sep23,72632
Oct23,72683
Nov23,72642
Dic23,75399
