Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene19,171
Feb19,177
Mar19,175
Abr19,167
May19,176
Jun19,197
Jul19,196
Ago19,175
Sep19,158
Oct19,171
Nov19,171
Dic19,171
