Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene23,304
Feb23,298
Mar23,290
Abr23,294
May23,269
Jun23,274
Jul23,247
Ago23,217
Sep23,233
Oct23,228
Nov23,212
Dic23,205
