Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene01,3970
Feb01,3945
Mar01,3969
Abr01,4207
May01,4000
Jun01,4028
Jul01,4374
Ago01,4133
Sep01,4063
Oct01,4185
Nov01,4261
Dic01,4911
