Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene04,141
Feb04,146
Mar04,152
Abr04,153
May04,150
Jun04,139
Jul04,122
Ago04,127
Sep04,116
Oct04,117
Nov04,117
Dic04,119
