Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene02,4478
Feb02,4517
Mar02,4686
Abr02,4655
May02,4646
Jun02,4853
Jul02,5278
Ago02,5168
Sep02,5011
Oct02,5042
Nov02,4991
Dic02,5573
