Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene15,203
Feb15,200
Mar15,199
Abr15,199
May15,190
Jun15,197
Jul15,202
Ago15,188
Sep15,197
Oct15,200
Nov15,191
Dic15,188
