Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene03,5004
Feb03,4987
Mar03,4977
Abr03,5165
May03,5135
Jun03,5160
Jul03,5665
Ago03,5569
Sep03,5355
Oct03,5496
Nov03,5546
Dic03,6319
