Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene13,333
Feb13,323
Mar13,337
Abr13,306
May13,318
Jun13,344
Jul13,274
Ago13,251
Sep13,243
Oct13,234
Nov13,235
Dic13,233
