Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene18,44893
Feb18,44806
Mar18,45135
Abr18,44799
May18,44568
Jun18,45275
Jul18,46510
Ago18,46172
Sep18,46252
Oct18,46352
Nov18,46494
Dic18,49778
