Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene12,295
Feb12,304
Mar12,301
Abr12,295
May12,293
Jun12,300
Jul12,365
Ago12,358
Sep12,339
Oct12,343
Nov12,353
Dic12,328
