Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene09,197
Feb09,180
Mar09,194
Abr09,191
May09,209
Jun09,197
Jul09,180
Ago09,181
Sep09,185
Oct09,203
Nov09,202
Dic09,207
