Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene92,587
Feb92,629
Mar92,651
Abr92,725
May92,730
Jun92,750
Jul92,892
Ago92,859
Sep92,827
Oct92,896
Nov92,866
Dic92,1095
