Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene06,124
Feb06,129
Mar06,125
Abr06,129
May06,135
Jun06,129
Jul06,136
Ago06,138
Sep06,145
Oct06,172
Nov06,190
Dic06,185
