Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene10,18469
Feb10,18489
Mar10,18860
Abr10,19238
May10,19433
Jun10,19602
Jul10,21116
Ago10,20931
Sep10,20802
Oct10,21468
Nov10,21746
Dic10,24131
