Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene18,164
Feb18,170
Mar18,183
Abr18,193
May18,195
Jun18,172
Jul18,161
Ago18,170
Sep18,158
Oct18,166
Nov18,164
Dic18,169
