Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene00,3910
Feb00,3751
Mar00,3948
Abr00,3920
May00,3893
Jun00,3932
Jul00,4335
Ago00,3940
Sep00,3939
Oct00,3997
Nov00,3927
Dic00,4514
