Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene06,9207
Feb06,9238
Mar06,9262
Abr06,9352
May06,9170
Jun06,9284
Jul06,10056
Ago06,9709
Sep06,9865
Oct06,9958
Nov06,10138
Dic06,11688
