Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene96,2597
Feb96,2607
Mar96,2666
Abr96,2715
May96,2692
Jun96,2782
Jul96,3056
Ago96,2912
Sep96,2749
Oct96,2749
Nov96,2773
Dic96,3230
