Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene13,30948
Feb13,30940
Mar13,31401
Abr13,31413
May13,31192
Jun13,31478
Jul13,32862
Ago13,32861
Sep13,32246
Oct13,32455
Nov13,32710
Dic13,35144
