Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene16,193
Feb16,185
Mar16,162
Abr16,168
May16,174
Jun16,190
Jul16,173
Ago16,167
Sep16,161
Oct16,166
Nov16,163
Dic16,159
