Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene14,232
Feb14,247
Mar14,258
Abr14,255
May14,242
Jun14,235
Jul14,217
Ago14,213
Sep14,200
Oct14,211
Nov14,213
Dic14,209
