Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene22,81441
Feb22,79594
Mar22,77267
Abr22,77489
May22,76215
Jun22,75616
Jul22,78548
Ago22,77557
Sep22,77665
Oct22,77914
Nov22,77033
Dic22,79890
