Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene11,22976
Feb11,22962
Mar11,22620
Abr11,23242
May11,23221
Jun11,23409
Jul11,25222
Ago11,24771
Sep11,24730
Oct11,25288
Nov11,24963
Dic11,27261
