Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene03,130
Feb03,127
Mar03,127
Abr03,126
May03,130
Jun03,129
Jul03,117
Ago03,127
Sep03,124
Oct03,132
Nov03,135
Dic03,134
