Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Ene02,116
Feb02,113
Mar02,113
Abr02,108
May02,115
Jun02,117
Jul02,123
Ago02,133
Sep02,132
Oct02,133
Nov02,133
Dic02,129
