Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene17,41711
Feb17,41116
Mar17,40722
Abr17,41254
May17,41004
Jun17,41033
Jul17,43008
Ago17,42250
Sep17,42620
Oct17,42773
Nov17,43044
Dic17,46178
